feedbacks,categories
"Nishimiye uburyo ikibazo cyanjye cyakemutse vuba","['service_quality']"
"Serivisi yanyu igenda irushaho kuba mbi buri munsi nzayireka","['service_quality']"
"Natsinzwe kubona ubufasha nari nkeneye serivisi ni mbi","['service_quality']"
"Mungarurire amafaranga yanjye vuba ntabwo nishimiye ibyo mwakoze","['service_quality']"
"Serivisi yari nziza ariko imirongo yo gutegereza iratinda cyane","['service_quality', 'waiting_time']"
"Abakozi bari beza ariko amafaranga acibwa ni menshi cyane","['staff_conduct', 'pricing_fees']"
"Porogaramu ni nziza ariko abakozi ntibazi kuyisobanura","['app_usability', 'staff_conduct']"
"Mbona huduma zenu zinachelewa sana siku hizi?","['waiting_time', 'service_quality']"
"Nilikaa kwenye foleni kwa zaidi ya saa moja bila kuhudumiwa","['waiting_time']"
"Wafanyakazi hawana heshima kabisa kwa wateja","['staff_conduct']"
"Programu ya simu inafungwa yenyewe kila nikijaribu kuingia","['app_usability']"
"Makato ya benki na ada za kutoa pesa ni kubwa mno","['pricing_fees']"
"Huduma yenu ni bora sana, nimeridhika kabisa","['service_quality']"
"Wafanyakazi walikuwa wakarimu lakini foleni ilikuwa ndefu sana","['staff_conduct', 'waiting_time']"
"How do U expect me to pay this much while your people acting all sassy with me!!","['pricing_fees', 'staff_conduct']"
"Your employees are giving me attitude and acting sassy for no reason","['staff_conduct']"
"The staff have so much attitude and are very sassy when I ask questions","['staff_conduct']"
"Why are you guys charging me this much money, total rip off","['pricing_fees']"
"These fees are crazy expensive and nobody explains why","['pricing_fees']"
"The app keeps acting up and freezing on my phone","['app_usability']"
"Why does it take forever just to get served in this place","['waiting_time']"
"Great customer care, the team was super friendly and helpful","['staff_conduct', 'service_quality']"
"Ariko muratinda mugakabya pe!!!","['waiting_time']"
"Muratinda cyane mu gutanga serivisi birakabije","['waiting_time', 'service_quality']"
"Ntegereje igihe kirekire cyane ntegereje umukozi","['waiting_time', 'staff_conduct']"
"Imirongo yanyu iratinda cyane mugakabya","['waiting_time']"
"Turatinda cyane ku mirongo amasaha menshi","['waiting_time']"
"Kuki mutinda gutya mugakabya?","['waiting_time']"
"Nagezeyo mu gitondo ntegereza kugeza nimugoroba","['waiting_time']"
"Serivisi iragenda buhoro cyane abantu bararambirwa","['waiting_time', 'service_quality']"
"Abasekirite banyu bavuga nabi cyane bafite agasuzuguro","['staff_conduct']"
"Abakozi banyu barasuzugura abakiriya cyane","['staff_conduct']"
"Abakozi banyu bakirana urugwiro n'umutima mwiza","['staff_conduct', 'service_quality']"
"Umukozi yanyakiriye neza cyane ansubiza neza","['staff_conduct', 'service_quality']"
"Hanyuma muzanamanure ibiciro by'inguzanyo biri hejuru cyane","['pricing_fees']"
"Ibiciro byanyu biri hejuru cyane mubimanure","['pricing_fees']"
"Amafaranga yo kubikuza no kohereza ari hejuru cyane","['pricing_fees']"
"Inyungu z'inguzanyo zanyu zirahenze cyane","['pricing_fees']"
"BTW, your mobile app is very slow","['app_usability']"
"Application ya telefone igenda buhoro cyane","['app_usability']"
"Sinshobora kwinjira muri application irafunze","['app_usability']"
"Application yanyu irapfa buri gihe","['app_usability']"
"Service yari nziza cyane. Mukomereze aho!","['service_quality']"
"Serivisi yanyu ni ntagereranywa ndayishimiye cyane","['service_quality']"
"Mbona mnachelewa sana kutoa huduma?","['waiting_time']"
"Foleni ni ndefu sana na inakera mno","['waiting_time']"
"Tafadhali punguzeni gharama na riba za mikopo","['pricing_fees']"
"Wafanyakazi wenu wanatoa huduma nzuri sana","['staff_conduct', 'service_quality']"
"Vous êtes beaucoup trop lents pour servir les clients!","['waiting_time']"
"Le temps d'attente est insupportable et interminable","['waiting_time']"
"Veuillez baisser vos taux d'intérêt et frais exorbitants","['pricing_fees']"
"Le personnel est très accueillant et compétent","['staff_conduct', 'service_quality']"
"You guys are taking way too long to serve people!","['waiting_time']"
"The wait time is completely unacceptable and ridiculous","['waiting_time']"
"Please reduce loan interest rates and monthly fees","['pricing_fees']"
"Customer support was helpful and very polite","['staff_conduct', 'service_quality']"
"kuki mwaduca ibiciro bingana bityo?","['pricing_fees']"
"kuki muncaho amafaranga menshi atumvikana?","['pricing_fees']"
"kuki ibiciro byanyu bihanitse gutya?","['pricing_fees']"
"kuki mutwishyuza amafaranga angana atya kuri buri kintu?","['pricing_fees']"
"mwaduca ibiciro bingana bityo gute kandi serivisi ari ntoya?","['pricing_fees', 'service_quality']"
"mbona ibiciro byanyu ari umurengera kuki mukabya?","['pricing_fees']"
"mwantindije cyane kandi abakozi banyu bavugaga nabi. kuki mwaduca ibiciro bingana bityo?","['waiting_time', 'staff_conduct', 'pricing_fees']"
"mwantindije cyane","['waiting_time']"
"abakozi banyu bavugaga nabi","['staff_conduct']"
"kuki abakozi banyu bafite agasuzuguro bavuga nabi?","['staff_conduct']"
"kuki application yanyu igenda buhoro idakora neza?","['app_usability']"
"kuki mutinda gutanga serivisi abantu bagakomera ku murongo?","['waiting_time']"
"kuki serivisi yanyu igenda irushaho kuba mbi?","['service_quality']"
"Why am I being charged this much for a simple service","['pricing_fees', 'service_quality']"
"Why are the transaction charges and monthly fees so high?","['pricing_fees']"
"Pourquoi nous facturez-vous des frais aussi élevés?","['pricing_fees']"
"Kwanini mnatutoza gharama kubwa hivi bila sababu?","['pricing_fees']"
"Man I am so fed up with y'all!","['service_quality']"
"I am so sick and tired of this company!","['service_quality']"
"This whole thing is ridiculous, I hate your service!","['service_quality']"
"You guys are the absolute worst, I am done with you!","['service_quality']"
"Worst customer experience of my life, totally unacceptable!","['service_quality']"
"I cannot take this anymore, I'm switching to another provider!","['service_quality']"
"Your service is a total disappointment, extremely frustrated!","['service_quality']"
"I regret ever doing business with you people!","['service_quality']"
"Unbelievable incompetence from top to bottom!","['service_quality']"
"J'en ai vraiment marre de vous et de vos services!","['service_quality']"
"Je suis tellement déçu et fatigué de vous!","['service_quality']"
"C'est le pire service que j'aie jamais vu, c'est inacceptable!","['service_quality']"
"Je regrette amèrement d'avoir choisi votre entreprise!","['service_quality']"
"Franchement vous êtes nuls, je pars ailleurs!","['service_quality']"
"Narabambiwe rwose, muntera umujinya cyane!","['service_quality']"
"Sinshaka kongera gukorana namwe ukundi, serivisi ni mbi cyane!","['service_quality']"
"Mumenye ko ndambiwe ibintu byanyu birakabije!","['service_quality']"
"Ibi birarambiranye pe, nta kintu na kimwe mugira kizima!","['service_quality']"
"Narahombye gukorana namwe, serivisi yanyu ni igisebo!","['service_quality']"
"Nimechoshwa na nyinyi kabisa, huduma zenu ni mbaya!","['service_quality']"
"Sina hamu tena na nyinyi, nimeghairi kufanya kazi na ninyi!","['service_quality']"
"Hii ni kero tupu, huduma duni mno!","['service_quality']"
"Hakika mnanikatisha tamaa sana kila siku!","['service_quality']"
"I love everything about this company, you guys are the best!","['service_quality']"
"Outstanding service all around, very happy customer!","['service_quality']"
"Keep up the wonderful work, highly recommended!","['service_quality']"
"Bravo à toute l'équipe, votre service est impeccable!","['service_quality']"
"Une expérience client au top, félicitations!","['service_quality']"
"Murakora neza cyane, serivisi yanyu iranshimishije cyane!","['service_quality']"
"Muri aba mbere rwose, mukomereze aho!","['service_quality']"
"Huduma yenu ni ya kupigiwa mfano, asanteni sana!","['service_quality']"
"Mko vizuri sana, hongereni kwa kazi nzuri!","['service_quality']"
"Good morning to everyone","[]"
"Hello, is anyone there?","[]"
"What is today's date?","[]"
"Bonjour à toute l'équipe","[]"
"Mwaramutse neza mwese","[]"
"Habari za asubuhi","[]"
"Thank you very much","[]"
"Murakoze cyane","[]"
"Asante sana kwa wote","[]"
"Your mobile app is constantly crashing and throwing errors","['app_usability']"
"The user interface of the website is confusing and broken","['app_usability']"
"I spent two hours waiting in line just to talk to a representative","['waiting_time']"
"Your queue moves way too slow, had to wait forever","['waiting_time']"
"The staff member at the counter shouted at me and was extremely rude","['staff_conduct']"
"Your security guard was very hostile and disrespectful","['staff_conduct']"
"Why did you debit my account with unexpected maintenance fees?","['pricing_fees']"
"The transfer rates and exchange charges are outrageously high","['pricing_fees']"
"The mobile app kept crashing and the customer support agent was rude","['app_usability', 'staff_conduct']"
"I waited in line for an hour and then the app would not let me log in","['waiting_time', 'app_usability']"
"I asked a person for help and she graciously helped me","['staff_conduct', 'service_quality']"
"I asked the manager for help and she graciously helped me","['staff_conduct', 'service_quality']"
"The app was difficult to use so I asked a person for help and she graciously helped me","['app_usability', 'staff_conduct', 'service_quality']"
"The app was difficult to use so I asked the manager for help and she graciously helped me","['app_usability', 'staff_conduct', 'service_quality']"
"I reached out to an employee for assistance and he kindly guided me","['staff_conduct', 'service_quality']"
"The lady at the desk was very helpful and assisted me patiently","['staff_conduct', 'service_quality']"
"The staff member took their time to explain and help me out","['staff_conduct', 'service_quality']"
"A person on duty assisted me with great kindness and respect","['staff_conduct', 'service_quality']"
"J'ai demandé de l'aide au responsable et elle m'a gracieusement aidé","['staff_conduct', 'service_quality']"
"J'ai demandé de l'aide à une personne et elle m'a gentiment assisté","['staff_conduct', 'service_quality']"
"Nasabye ubufasha umukozi maze amfasha neza cyane n'urugwiro","['staff_conduct', 'service_quality']"
"Nigiriye inama umuyobozi maze anyitaho neza cyane","['staff_conduct', 'service_quality']"
"Nilimuomba meneja msaada na alinisaidia kwa ukarimu sana","['staff_conduct', 'service_quality']"
"Nilimuomba mfanyakazi msaada na alinisaidia kwa upole","['staff_conduct', 'service_quality']"
"nothing much to say","[]"
"nothing special to mention","[]"
"no comment at this moment","[]"
"just passing by, nothing to add","[]"
"rien de particulier à dire","[]"
"pas de commentaires pour l'instant","[]"
"nta kidasanzwe mfite cyo kuvuga","[]"
"nta kibazo cyangwa igitekerezo","[]"
"hakuna la kusema kwa sasa","[]"
"hakuna maoni maalum","[]"
"wished i had come here sooner. i felt at home and well treated. if only the prices were cheaper though","['staff_conduct', 'service_quality', 'pricing_fees']"
"I wish I had found this place sooner, the staff is welcoming and loving although charges are high","['staff_conduct', 'service_quality', 'pricing_fees']"
"I wish I started using your service sooner, great hospitality but quite costly","['staff_conduct', 'service_quality', 'pricing_fees']"
"J'aurais aimé venir ici plus tôt, un accueil chaleureux et formidable mais tarifs un peu élevés","['staff_conduct', 'service_quality', 'pricing_fees']"
"Iyaba narahageze mbere, nahagiriye ibihe byiza n'ubwo ibiciro bihanitse gato","['staff_conduct', 'service_quality', 'pricing_fees']"
"Laiti ningelijua hapa mapema, nilikaribishwa kwa upendo na heshima ingawa gharama ni kubwa","['staff_conduct', 'service_quality', 'pricing_fees']"
"Mbega ahantu kuntu hasa neza kandi hafite isuku","['cleanliness_hygiene']"
"Ahantu hose hasa neza cyane harasukuye kandi hatekanye","['cleanliness_hygiene', 'service_quality']"
"Hari umwanda mwinshi mu misarani nta suku ihari kandi abakozi ntibabyitayeho","['cleanliness_hygiene', 'staff_conduct']"
"Ibiro byanyu bifite isuku ihagije kandi abakozi bakirana urugwiro","['cleanliness_hygiene', 'staff_conduct']"
"The facility is extremely clean, tidy, and hygienic","['cleanliness_hygiene']"
"Dirty restrooms, overflowing trash bins, and filthy waiting area","['cleanliness_hygiene']"
"The building was sparkling clean and the staff was very polite","['cleanliness_hygiene', 'staff_conduct']"
"Great customer service but the toilets really need proper cleaning","['cleanliness_hygiene', 'service_quality']"
"Les locaux sont impeccablement propres et très bien entretenus","['cleanliness_hygiene']"
"Toilettes extrêmement sales avec une odeur nauséabonde","['cleanliness_hygiene']"
"Mazingira ni masafi sana na vyoo viko katika hali nzuri","['cleanliness_hygiene']"
"Kuna uchafu mwingi vyooni na hakuna maji wala sabuni","['cleanliness_hygiene']"
"Very clean environment and affordable prices for everyone","['cleanliness_hygiene', 'pricing_fees']"
"Umwanda mu buroherezo n'ubwiherero buhumura nabi cyane","['cleanliness_hygiene']"
"Ahantu hasa neza bituma umuntu yisanzura muri serivisi","['cleanliness_hygiene', 'service_quality']"
"Aho bakorera haranuka cyane kandi bafite umwanda mwinshi","['cleanliness_hygiene']"
"Mbega ukuntu abakozi banyu basa nabi kandi aho bakorera haranuka","['cleanliness_hygiene', 'staff_conduct']"
"Umunuko mu cyumba cy'abakiriya n'imyanda itezwe hose","['cleanliness_hygiene']"
"Les bureaux puent et l'environnement de travail est très sale","['cleanliness_hygiene']"
"Ofisi inanuka vibaya na mazingira ya kazi ni machafu sana","['cleanliness_hygiene']"
"The office has a terrible odor and filthy restrooms","['cleanliness_hygiene']"
"Mwantindije cyane kumurongo ntegereza amasaha menshi","['waiting_time']"
"Uzikuntu mwantindije kumurongo mukananca amafaranga menshi","['waiting_time', 'pricing_fees']"
"Mbega abakozi basa nabi uzikuntu mwantindije kumurongo mukananca amafaranga menshi kuri serivise mbi","['staff_conduct', 'waiting_time', 'pricing_fees', 'service_quality']"
"Mukananca amafaranga y'umurengera adafite ibisobanuro","['pricing_fees']"
"Vous m'avez fait attendre trop longtemps dans la file et facturé des frais excessifs","['waiting_time', 'pricing_fees']"
"Mlinichelewesha sana kwenye foleni na kunitangazia gharama kubwa","['waiting_time', 'pricing_fees']"
"You made me wait in line for hours and charged excessive hidden fees for poor service","['waiting_time', 'pricing_fees', 'service_quality']"
"Abakozi bakorana urugwiro cyane kandi serivisi zanyu ziratangaje cyane","['staff_conduct', 'service_quality']"
"Bakirana abakiriya urugwiro n'ikinyabupfura kandi bakorana ubuhanga","['staff_conduct']"
"Serivisi zanyu ziratangaje cyane kandi abakozi baritanga cyane","['staff_conduct', 'service_quality']"
"Serivisi yihuse cyane kandi abakozi bakirana abantu urugwiro","['waiting_time', 'staff_conduct']"
"Ibiciro byiza cyane bihendukiye abantu bose kandi serivisi iranoze","['pricing_fees', 'service_quality']"
"Ahantu hose hasa neza hafite isuku ihebuje n'abakozi bitonda","['cleanliness_hygiene', 'staff_conduct']"
"Application yanyu iroroshye cyane kuyikoresha kandi ifite ibiciro byiza","['app_usability', 'pricing_fees']"
"Superb welcoming staff and outstanding service quality","['staff_conduct', 'service_quality']"
"Wafanyakazi wakarimu sana na huduma ya haraka ya kuridhisha","['staff_conduct', 'waiting_time', 'service_quality']"
"Mbega abakozi babi batinda gufasha abakiriya","['staff_conduct', 'waiting_time']"
"Abakozi banyu batinda cyane gufasha abantu ku murongo","['staff_conduct', 'waiting_time']"
"Your service was very good and but we waited a bit too long kandi ikindi mujye mugabanya ibiciro kuko biri hejuru kandi ikindi mujye mukora amasuku haba hasa nabi","['service_quality', 'waiting_time', 'pricing_fees', 'cleanliness_hygiene']"
"Amasuku mabi cyane haba hasa nabi kandi abakozi batagira ikinyabupfura","['cleanliness_hygiene', 'staff_conduct']"
"I felt at home and well treated by the warm staff","['staff_conduct', 'service_quality']"
"Wished I had come here sooner wonderful experience","['service_quality']"
"Aho bakorera hasa nabi cyane nta suku ihaba","['cleanliness_hygiene']"
"Baratwihutishiriza cyane serivisi irihuta","['waiting_time', 'service_quality']"
"Kandi baratwihutishiriza vuba cyane nta gutinda","['waiting_time']"
"Baratwihutishiriza mu buryo bwiza nta gutinda kumurongo","['waiting_time']"
"Baratwihutisha cyane bafasha abakiriya vuba","['waiting_time']"
"Mbega abakozi beza ariko aho bakorera hasa nabi kandi baratwihutishiriza the prices where cheap tho","['staff_conduct', 'cleanliness_hygiene', 'waiting_time', 'pricing_fees']"
"Ariko aho bakorera hasa nabi cyane nta suku","['cleanliness_hygiene']"
"Aho bakorera hasa nabi kandi haranuka umwanda","['cleanliness_hygiene']"
"Ibiro byanyu birasa nabi cyane nta suku ihaba","['cleanliness_hygiene']"
"Aho bakorera hasa neza cyane hafite isuku ihebuje","['cleanliness_hygiene']"
"Abakozi banyu basa nabi cyane nta suku bagira","['cleanliness_hygiene']"
"Abakozi basa nabi kandi bambaye nabi","['cleanliness_hygiene', 'staff_conduct']"
"Abakozi basa neza cyane bafite isuku ihebuje","['cleanliness_hygiene', 'staff_conduct']"
"Aho bakorera hasa nabi nabakozi basa nabi","['cleanliness_hygiene']"
"Abakozi banyu nibeza cyane bakorana urugwiro","['staff_conduct']"
"Abakozi banyu ni beza cyane baradufasha","['staff_conduct']"
"Ibicuruzwa byanyu ko mubihenda cyane","['pricing_fees']"
"Mubihenda cyane ku bicuruzwa mujye mugabanya ibiciro","['pricing_fees']"
"Ibicuruzwa birahenze cyane kandi biri hejuru","['pricing_fees']"
"Man I am so fed up with y'all! gusa abakozi banyu nibeza gusa basa nabi","['service_quality', 'staff_conduct', 'cleanliness_hygiene']"
"everyone had to share the same sticky ipad and none of the buttons worked. completely unusable and the workers just gave me a headache. Kandi aho mukorera hasa nabi nabakozi basa nabi. Kandi ibicuruzwa byanyu ko mubihenda","['app_usability', 'staff_conduct', 'cleanliness_hygiene', 'pricing_fees']"
"The waiting area was filthy, we sat there for almost two hours, and the staff never once checked on us","['cleanliness_hygiene', 'waiting_time', 'staff_conduct']"
"The restrooms were disgusting and the floor was sticky everywhere, yet somehow the overall service still felt rushed and careless","['cleanliness_hygiene', 'service_quality']"
"The self-service kiosks were covered in dust and grime, and half of them wouldn't even respond when I tapped the screen","['cleanliness_hygiene', 'app_usability']"
"The mobile app kept crashing every time I tried to pay, the transaction fees were absurdly high, and overall the experience felt like a waste of time","['app_usability', 'pricing_fees', 'service_quality']"
"Les toilettes étaient très sales, nous avons attendu plus d'une heure, et le personnel n'a montré aucune considération pour nos plaintes","['cleanliness_hygiene', 'waiting_time', 'staff_conduct']"
"La salle d'attente était mal entretenue et poussiéreuse, et pourtant les frais qu'on nous a facturés étaient exorbitants","['cleanliness_hygiene', 'pricing_fees']"
"La file d'attente n'avançait pas du tout, les lieux étaient mal entretenus, et globalement le service laissait beaucoup à désirer","['waiting_time', 'cleanliness_hygiene', 'service_quality']"
"Ibyumba by'ubuvuzi ntibyari bisukuye, twategereje igihe kirekire cyane, kandi abaforomo ntibatwitayeho neza","['cleanliness_hygiene', 'waiting_time', 'staff_conduct']"
"Ahantu hose hari hasa nabi cyane, imyanda yari ahantu hose, serivisi muri rusange yari mbi cyane","['cleanliness_hygiene', 'service_quality']"
"Sisitemu ya mudasobwa yari igoye gukoresha, twategereje igihe kirekire kugira ngo dufashwe, kandi ahantu twari twicaye ntihasukuye","['app_usability', 'waiting_time', 'cleanliness_hygiene']"
"Ibyumba by'ubwiherero byari bibi cyane kandi bifite impumuro mbi, nyamara abakozi ntibabyitayeho na gato","['cleanliness_hygiene', 'staff_conduct']"
